Text,Weight,Word_Density,Noun_Count,Verb_Count,Adj_Count,Adv_Count,Pron_Count
jordanbos97 mean much thank thank thank,0.0,5.571428571428571,5,0,1,0,0
rt lakershow jordan clarkson imit kobe fadeaway jumper,0.0,6.0,6,1,0,1,0
rt ulusoybetuel unterstand one put children boat unless water safer land refugeeswelc,0.2886751345948129,6.538461538461538,8,1,1,0,0
europ tighten border stop flow migrant liveleakfun,0.7559289460184544,6.25,5,2,0,0,0
look like campaign poster neglect hors,0.0,5.428571428571429,5,0,0,0,0
rt realdonaldtrump yet anoth weak hit candid fail campaign jeb sink low poll other,0.0,5.466666666666667,7,1,4,1,0
snewhardi head toronto calgari kamloop,0.0,6.333333333333333,3,0,1,0,0
rt gwcampusrec support gwvolleybal raisehigh homeopen,0.0,7.571428571428571,5,0,1,0,0
rt insandivya msgswachhbharat campaign carri period aim prevent diseas along promot awar toward,0.0,6.785714285714286,9,0,2,0,0
sarasampaio hello saraif second could follow campbellhessh tri long mean lot,0.0,6.333333333333333,6,2,2,0,0
rt brexitwatch case brexit franc would longer oblig prevent migrant cross channel,0.5773502691896258,6.230769230769231,9,1,1,0,0
rt cmomaharashtra cm devfadnavi fodder camp run villag cooper societi aashivausa talukalatur droughtrelief http,0.0,7.4,11,1,1,0,0
rt anishadss derasachasauda wow amaz see undi spirit dssvolunt msgswachhbharat campaign gur,0.0,7.0,10,1,1,0,0
rt sportykidz sporti kidz camp amp parti love run parachut game mani happi face woke sportykidz happi http,0.0,5.578947368421052,13,3,1,1,0
rt frjamesbradley celebr first mass new shrine ladi hungari marysshrin told http,0.0,6.153846153846154,8,2,1,1,0
rt bopanc munich polic overwhelm donat refuge pls stop german posit respons refugeecrisi,0.0,6.285714285714286,8,2,3,0,0
jordandikeman himifi payton6280 go bed jake,0.0,6.142857142857143,4,1,1,0,0
rt msleamichel new month new hashtag wan na see backtoschool look tag pic youfirstcampus,0.0,5.866666666666666,6,3,4,0,0
iceland call govern take syrian refuge,0.696923425058676,5.428571428571429,4,0,2,0,0
rt lotteleicht1 wonder refuge welcom banner drape across footbal stadium germani weekend via markito0171 http,0.0,6.8125,10,1,2,0,0
rt cnni auschwitz shower offend visitor former nazi death camp,0.0,5.636363636363637,6,0,4,0,0
camppo dont worri mate im probabl field myke pyke cover sandi week,0.0,5.076923076923077,11,0,1,0,0
breakingnew migrant sleep budapest street train station close st,0.6666666666666666,6.4,5,0,3,1,0
rt maxcros iceland govern want accept 50 syrian refugeesiceland reaction see screenshot http,0.7508163313634132,6.571428571428571,5,3,4,0,0
campuslondon techhub demo night minut start,0.0,6.142857142857143,5,1,0,0,0
rt realjameswood well thought dissect pc insan trigger warn hurt mental health campus http,0.0,6.0,8,2,3,1,0
readi tulum round2 aeromethodolog trainingcamp2015 aerospacehpc fortun,0.0,8.75,7,0,0,0,0
rt dvgtworld behind scene theo hugobosscampaign,0.0,6.714285714285714,5,0,0,0,0
dont alreadi incred one usa today 3 campus job amp im full time youtub,0.0,4.666666666666667,8,1,2,0,0
rt rizwansajid8 sirajoffici address ahbab jamiat uk summer camp topic jamiat ki yaadainsirajulhaqukvisit,0.0,7.428571428571429,10,1,1,0,0
authent jordan 11 retro 7210 yeezi boost 350,0.0,4.888888888888889,3,1,1,0,0
rt carnegieendow judydempsey open europ jeopardi govern build wall refuge russia roma http,0.0,6.428571428571429,9,2,2,0,0
