Text,Weight,Word_Density,Noun_Count,Verb_Count,Adj_Count,Adv_Count,Pron_Count,Polarity
rt gkrahnkrahn wilmington stencil studio onlin shop bedroom wall decor like,0.0,6.25,10,0,0,0,0,0.0
namejanemorrow wors still mine russian my syria imag matter clear draw attent,0.2294157338705617,5.923076923076923,5,2,3,1,1,-0.0772
nato will stop at noth to support proxi armi isi stopbombingsyria syria serena shim,0.2357022603955159,5.533333333333333,7,3,0,0,0,-0.5789
franc push un draft resolut aleppo ceasefir ريتويت syria,0.5345224838248488,5.6,8,0,0,0,0,0.0
pokemon syria moustafajano,0.2357022603955159,6.5,3,0,0,0,0,0.0
omojuwa and governmentrf refus stop aggress countri notabl ukrain syria,0.24253562503633294,6.454545454545454,9,0,0,0,0,-0.6808
oil power money assad must go syria,0.2886751345948129,4.375,5,1,0,0,0,0.0
rt mehabdullah9595 whi kill syria حلبستحاجكمعندالله islam,0.2672612419124244,7.125,5,1,1,0,0,-0.6705
sale great select artwork modern abstract contemporari fineart wall pop,0.0,6.454545454545454,6,1,3,0,0,0.6249
middleeastey turkey extend mandat use troop iraq syria one year languag undefin syria,0.22360679774997896,6.071428571428571,11,1,0,0,0,0.128
rt karinziot impress scari video retainingwal wall will sure go motiv intro undergrad soil mech…,0.0,6.0,10,1,2,1,0,0.2732
rt hadeelalsh no one care one listen one stop waterfal blood aleppo hospit staff syria,0.1889822365046136,5.375,9,2,1,0,0,-0.4939
rt hadeelalsh no one care one listen one stop waterfal blood aleppo hospit staff syria,0.1889822365046136,5.375,9,2,1,0,0,-0.4939
three polic car set ablaz dresden ahead german uniti day berlin reuter unknown p world syria,0.2132007163556104,5.411764705882353,5,2,6,2,0,0.0
rt hadeelalsh no one care one listen one stop waterfal blood aleppo hospit staff syria,0.1889822365046136,5.375,9,2,1,0,0,-0.4939
how get one 5 thing know nobel prize stockholm ap — actor yearn oscar syria,0.20412414523193154,4.6875,7,3,1,2,0,0.4588
rt harryslaststand while west right condemn war crime syria mute yemen bc saudiarabia interest matter more…,0.2132007163556104,6.294117647058823,10,2,3,0,0,-0.7269
the latest the newsd daili syria,0.2773500981126146,4.571428571428571,3,0,1,0,0,0.0
rt libyaso the latest libya sos daili news thank lablanchfanni fubarista northandrew aleppo syria,0.2085144140570748,6.466666666666667,8,2,3,0,0,0.4926
rt 75i led light bathroom light idea – dusk til dawn bathroom wall paper,0.0,4.8,10,1,2,0,0,0.0
rt kepplervip the big reveal – sea theme bedroom makeov space theme bedroom bedroom wall clock,0.0,5.529411764705882,13,1,1,0,0,0.0
rt crosiertomasa led light bathroom light idea – dusk til dawn bathroom wall paper,0.0,5.466666666666667,11,1,2,0,0,0.0
uk usa henchman syria assad regim syria usa uk stopbombingsyria,0.2357022603955159,5.7272727272727275,5,0,5,0,0,0.0
rt dagmargreenle travel cook with kid kitchen wall tile furnitur,0.0,5.818181818181818,7,1,1,0,0,0.0
rt mistylady4 sale great select artwork modern abstract contemporari fineart wall pop…,0.0,6.615384615384615,8,1,3,0,0,0.6249
the latest the soliman daili thank dandiaasad ejozsef drjen syria libya,0.2357022603955159,5.916666666666667,5,1,3,0,0,0.4926
syria straight talk from syria un envoy,0.5773502691896258,4.875,4,1,1,0,0,0.2263
bassel disappear assad presion sinc 366 day there api counter syria freebassel,0.2182178902359924,6.0,5,3,1,2,0,-0.2263
rt aidnew the latest the daili aidbulletin thank afdfranc habitatday syria,0.2357022603955159,6.166666666666667,7,1,1,0,0,0.4926
20 kill 47 wound suicid attack target kurdish wed hasakah rojava syria الحسكة,0.4364357804719848,5.5,5,3,2,0,0,-0.9201
bling backsplash hexagon brush metal mosaic wall tile ontrend warm mix metal wallcovering…,0.0,6.428571428571429,10,2,1,0,0,0.0
rt colconnaughton syrian war isi & amp ; western propaganda assad interview 10 quot syria assad stopbombing…,0.22360679774997896,6.0,9,2,3,0,0,-0.7096
rt hermius1 aleppo liber latest syria reuter bbcnew cnn ap nytim uk aleppo damascus hom amanpour guardian https…,0.2357022603955159,5.894736842105263,8,2,7,0,0,0.0
white hous disappoint russia putin suspend plutonium cleanup accord us المغرب syria cairo,0.2182178902359924,6.357142857142857,8,2,2,0,1,-0.4767
genprev stori via emmjaye suvipatooja w2iproject r2p syria,0.2672612419124244,6.444444444444445,6,1,0,0,0,0.0
johnlennonwal lennonwal lennon johnlennon wall graffiti praha prague… john lennon wall [ pic ] —,0.0,6.0,15,0,0,0,0,0.0
disney dream wall 😍 eva disney land pari,0.0,4.444444444444445,7,1,0,0,0,0.0
un council weigh measur impos aleppo ceasefir syria,0.5547001962252291,5.666666666666667,6,0,2,0,0,-0.29600000000000004
introduc nime white featur tile this eye catch tile avail pearl white grey wall diy,0.0,5.1875,9,1,3,0,0,0.0516
this rustic wall art add oodl nostalgia decor space interiordesign decor danc poster…,0.0,6.071428571428571,8,1,3,0,0,0.0
rt libyaso the latest libya sos daili news thank gihantadreft lablanchfanni solacium800 syria al…,0.2085144140570748,6.466666666666667,10,1,2,0,0,0.4926
the latest the salma salama daili thank khalidalameri sarahebeid zumba syria egypt,0.2294157338705617,6.3076923076923075,9,0,1,0,0,0.4926
rt julialosfelt tuesday bullshit photoshop abstract line illustr freelanc wall graffiti gra… https…,0.0,7.071428571428571,10,1,2,0,0,-0.5859
brazil bank worker strike becom longest sinc 2004 sao paulo reuter a monthlong strike world syria,0.2085144140570748,5.705882352941177,12,0,2,0,0,-0.128
weaken is may find haven rural iraq syria voic america syria syrianew,0.2357022603955159,5.3076923076923075,6,3,2,0,0,-0.3182
rt missisty oklahoma interest free bedroom wall light wireless,0.0,6.2,7,0,2,0,0,0.743
